"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","92_1",0,0,0.078,0.922
"2","92_2",0.269,0.731,0,0
"3","92_3",0.166,0,0,0.834
"4","92_4",0.981,0,0.019,0
"5","92_5",0.884,0,0,0.116
"6","92_6",0.089,0,0.877,0.034
"7","92_7",0.415,0,0.585,0
"8","92_8",0.957,0,0.043,0
"9","92_9",0.957,0.043,0,0
"10","92_10",0.274,0,0.502,0.224
"11","92_11",0.839,0.161,0,0
"12","92_12",0,0.179,0.139,0.682
"13","92_13",0.977,0,0.023,0
"14","92_14",0.69,0,0,0.31
"15","92_15",0,0,0.072,0.927
