"","X2.5..gy_A_AA","X50..gy_A_AA","X97.5..gy_A_AA"
"1",0.428571428571429,0.833333333333333,1.875
"2",0.411764705882353,0.823529411764706,2
"3",0.323529411764706,0.647058823529412,1.57142857142857
"4",0.352941176470588,0.705882352941177,1.71428571428571
"5",0.393939393939394,0.8125,2.16666666666667
"6",0.393939393939394,0.8125,2.16666666666667
"7",0.454545454545455,0.9375,2.5
"8",0.363636363636364,0.75,2
"9",0.285714285714286,0.555555555555556,1.25
"10",0.352941176470588,0.705882352941177,1.71428571428571
"11",0.4,0.823529411764706,2
"12",0.542857142857143,1.11764705882353,2.71428571428571
"13",0.5,1,2.42857142857143
