"","X2.5..gy_A_AA","X50..gy_A_AA","X97.5..gy_A_AA"
"1",0.652173913043478,1.25,3
"2",0.608695652173913,1.16666666666667,2.8
"3",0.478260869565217,0.916666666666667,2.2
"4",0.521739130434783,1,3
"5",0.565217391304348,1.08333333333333,2.6
"6",0.565217391304348,1.08333333333333,2.6
"7",0.652173913043478,1.25,3
"8",0.521739130434783,1,2.4
"9",0.416666666666667,0.769230769230769,2
"10",0.48,0.923076923076923,2
"11",0.56,1,2.33333333333333
"12",0.730769230769231,1.35714285714286,3.16666666666667
"13",0.62962962962963,1.13333333333333,2.42857142857143
