"","Time trend Estimate (95% CI)"
"ac_pneumonia_Age1","0.81 (0.57, 1.16)"
"ac_pneumonia_Age1_0","0.8 (0.53, 1.17)"
"ac_pneumonia_Age1_1","0.85 (0.57, 1.29)"
"ac_pneumonia_Age2","0.67 (0.47, 0.96)"
"ac_pneumonia_Age3","0.37 (0.25, 0.56)"
"ac_pneumonia_Age4","0.42 (0.27, 0.68)"
"ac_pneumonia_Age5","0.87 (0.62, 1.21)"
"ac_pneumonia_Age6","1.04 (0.7, 1.49)"
"HP_all_raw_Age1","0.63 (0.38, 1.04)"
"RP_all_raw_Age1","0.38 (0.21, 0.68)"
"VS_SP_all_raw_Age1","0.87 (0.54, 1.34)"
