"","SC Estimate (95% CI)"
"ac_pneumonia_Age1","0.93 (0.77, 1.13)"
"ac_pneumonia_Age1_0","0.95 (0.76, 1.16)"
"ac_pneumonia_Age1_1","0.93 (0.75, 1.24)"
"ac_pneumonia_Age2","0.64 (0.52, 0.8)"
"ac_pneumonia_Age3","0.55 (0.44, 0.69)"
"ac_pneumonia_Age4","0.65 (0.46, 0.92)"
"ac_pneumonia_Age5","0.97 (0.78, 1.19)"
"ac_pneumonia_Age6","1.2 (0.96, 1.86)"
"HP_all_raw_Age1","0.74 (0.58, 0.95)"
"RP_all_raw_Age1","0.72 (0.38, 1.13)"
"VS_SP_all_raw_Age1","0.68 (0.52, 0.89)"
