"","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"ac_pneumonia_Age1","0.771055564747359","0.9296","1.134765625","A00_B99_norota","0.08","0.77","0.94","1.21","Q00_Q99","0.07","0.78","0.94","1.23","L00_L99","0.07","0.78","0.94","1.21"
"ac_pneumonia_Age1_0","0.763391698289611","0.952779778543785","1.16180758017493","R00_R99","0.16","0.75","0.95","1.18","A00_B99_norota","0.08","0.75","0.95","1.18","L00_L99","0.07","0.75","0.95","1.18"
"ac_pneumonia_Age1_1","0.751028806584362","0.931122448979592","1.24149659863946","R00_R99","0.11","0.76","0.95","1.24","L00_L99","0.09","0.77","0.98","1.26","pandemic","0.07","0.78","1","1.26"
"ac_pneumonia_Age2","0.521341463414634","0.642857142857143","0.802816901408451","L00_L99","0.22","0.49","0.65","0.81","R00_R99","0.08","0.49","0.65","0.81","S00_T88","0.07","0.47","0.65","0.8"
"ac_pneumonia_Age3","0.43664019584428","0.552","0.69017424242424","L00_L99","0.19","0.4","0.54","0.7","R00_R99","0.16","0.4","0.54","0.7","K00_K95","0.11","0.4","0.54","0.7"
"ac_pneumonia_Age4","0.458100558659218","0.645669291338583","0.921348314606742","M00_M99","0.64","0.54","0.75","1","N00_N99","0.49","0.48","0.72","0.95","pandemic","0.42","0.49","0.72","0.95"
"ac_pneumonia_Age5","0.783333333333333","0.972413793103448","1.19491525423729","H00_H99","0.11","0.82","0.98","1.27","A00_B99_norota","0.09","0.8","0.98","1.26","N00_N99","0.07","0.81","0.98","1.27"
"ac_pneumonia_Age6","0.957952468007313","1.20459770114943","1.85832134474142","H00_H99","0.9","1.28","1.71","2.37","E00_E89","0.06","1.3","1.7","2.41","E10_E14","0.05","1.32","1.74","2.41"
"HP_all_raw_Age1","0.577639751552795","0.738095238095238","0.948979591836735","L00_L99","0.7","0.56","0.72","0.96","R00_R99","0.13","0.57","0.72","1","A00_B99_norota","0.1","0.57","0.73","1"
"RP_all_raw_Age1","0.375","0.71900826446281","1.12987012987013","A00_B99_norota","0.23","0.36","0.67","1.12","Q00_Q99","0.17","0.36","0.68","1.12","R00_R99","0.15","0.36","0.64","1.09"
"VS_SP_all_raw_Age1","0.519633507853403","0.683304647160069","0.894144144144144","Q00_Q99","0.09","0.51","0.68","0.93","A00_B99_norota","0.08","0.52","0.69","0.93","L00_L99","0.07","0.52","0.69","0.97"
