"","STL+PCA Estimate (95% CI)"
"9_1","0.48 (0.23, 0.99)"
"9_10","2.34 (0.87, 6.47)"
"9_11","1 (0.66, 1.5)"
"9_12","0.17 (0.06, 0.45)"
"9_13","0.13 (0.05, 0.37)"
"9_14","0.62 (0.4, 0.96)"
"9_15","0.08 (0.03, 0.19)"
"9_16","0.24 (0.12, 0.48)"
"9_17","0.33 (0.12, 0.84)"
"9_19","0.88 (0.6, 1.3)"
"9_2","0.95 (0.56, 1.55)"
"9_20","0.72 (0.38, 1.28)"
"9_21","0.67 (0.51, 0.87)"
"9_22","0.56 (0.37, 0.84)"
"9_23","0.96 (0.59, 1.52)"
"9_24","0.43 (0.28, 0.64)"
"9_25","0.84 (0.43, 1.57)"
"9_26","2.54 (0.58, 8.41)"
"9_27","0.76 (0.53, 1.11)"
"9_28","1.51 (0.98, 2.37)"
"9_29","0.61 (0.26, 1.44)"
"9_30","0.54 (0.31, 0.92)"
"9_31","0.92 (0.59, 1.39)"
"9_32","1 (0.73, 1.35)"
"9_4","0.88 (0.69, 1.12)"
"9_5","0.56 (0.27, 1.13)"
"9_7","0.78 (0.6, 1.01)"
"9_8","0.79 (0.63, 1)"
"9_9","0.96 (0.78, 1.17)"
