"","Time trend Estimate (95% CI)"
"9_1","0.39 (0.19, 0.78)"
"9_10","0.35 (0.19, 0.64)"
"9_11","1.27 (0.83, 1.96)"
"9_12","0.63 (0.37, 1.07)"
"9_13","0.4 (0.19, 0.82)"
"9_14","0.87 (0.55, 1.34)"
"9_15","1.18 (0.67, 2.06)"
"9_16","0.67 (0.4, 1.13)"
"9_17","1.37 (0.64, 2.93)"
"9_19","0.75 (0.47, 1.17)"
"9_2","1.39 (0.72, 2.59)"
"9_20","0.95 (0.51, 1.75)"
"9_21","0.88 (0.49, 1.48)"
"9_22","0.62 (0.37, 1)"
"9_23","0.61 (0.28, 1.34)"
"9_24","0.72 (0.42, 1.21)"
"9_25","1.92 (1, 3.89)"
"9_26","1.26 (0.67, 2.23)"
"9_27","0.67 (0.38, 1.15)"
"9_28","1.37 (0.82, 2.27)"
"9_29","0.66 (0.3, 1.44)"
"9_30","0.63 (0.33, 1.09)"
"9_31","1.3 (0.67, 2.63)"
"9_32","1.07 (0.53, 2.02)"
"9_4","1.09 (0.6, 2.05)"
"9_5","0.74 (0.4, 1.32)"
"9_7","0.99 (0.62, 1.62)"
"9_8","0.93 (0.59, 1.52)"
"9_9","0.92 (0.54, 1.56)"
