"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"9_1","0.39 (0.19, 0.78)","0.72 (0.42, 1.27)","cJ20_J22","0.76","0.69 (0.38, 1.25)","ach_noj","0.54","0.73 (0.42, 1.36)","Q00_99","0.41","0.87 (0.47, 1.47)"
"9_10","0.35 (0.19, 0.64)","0.75 (0.57, 1.08)","cJ20_J22","0.98","0.86 (0.67, 1.24)","ach_noj","0.46","0.85 (0.67, 1.13)","P00_99","0.39","0.85 (0.67, 1.1)"
"9_11","1.27 (0.83, 1.96)","0.87 (0.68, 1.09)","cJ20_J22","1","1.16 (0.79, 1.45)","Q00_99","0.11","1.18 (0.79, 1.47)","P00_99","0.11","1.17 (0.81, 1.45)"
"9_12","0.63 (0.37, 1.07)","0.7 (0.47, 0.86)","cJ20_J22","1","0.7 (0.38, 1.01)","P00_99","0.21","0.72 (0.36, 0.96)","ach_noj","0.2","0.79 (0.59, 1.06)"
"9_13","0.4 (0.19, 0.82)","0.67 (0.33, 1.43)","P05_07","0.96","0.8 (0.4, 1.57)","ach_noj","0.74","0.77 (0.34, 1.48)","P00_99","0.64","1.12 (0.67, 1.63)"
"9_14","0.87 (0.55, 1.34)","1.19 (0.87, 1.64)","cJ20_J22","1","1.1 (0.76, 1.62)","ach_noj","0.62","1.09 (0.74, 1.69)","P00_99","0.49","1.43 (0.99, 1.94)"
"9_15","1.18 (0.67, 2.06)","0.72 (0.62, 0.85)","cJ20_J22","1","0.91 (0.67, 1.67)","E00_99","1","0.9 (0.66, 1.96)","S00_T99","0.11","1 (0.69, 2.04)"
"9_16","0.67 (0.4, 1.13)","1.09 (0.82, 1.27)","cJ20_J22","1","0.68 (0.39, 1.24)","P05_07","0.15","0.72 (0.44, 1.32)","P00_99","0.11","0.73 (0.44, 1.32)"
"9_17","1.37 (0.64, 2.93)","0.72 (0.55, 0.93)","cJ20_J22","1","0.69 (0.5, 1.07)","P05_07","0.24","0.68 (0.5, 0.98)","ach_noj","0.19","0.67 (0.49, 0.91)"
"9_19","0.75 (0.47, 1.17)","0.7 (0.57, 0.99)","cJ20_J22","0.99","0.79 (0.65, 1.12)","P05_07","0.58","0.76 (0.64, 0.96)","P00_99","0.29","0.75 (0.63, 0.88)"
"9_2","1.39 (0.72, 2.59)","0.97 (0.71, 1.29)","Q00_99","0.63","1.04 (0.79, 1.35)","ach_noj","0.3","1.04 (0.82, 1.33)","P00_99","0.28","1.03 (0.81, 1.28)"
"9_20","0.95 (0.51, 1.75)","0.95 (0.61, 1.21)","cJ20_J22","1","0.77 (0.39, 1.46)","Q00_99","0.28","0.8 (0.46, 1.48)","ach_noj","0.25","0.84 (0.47, 1.56)"
"9_21","0.88 (0.49, 1.48)","0.84 (0.68, 1)","cJ20_J22","1","0.8 (0.6, 1.06)","P00_99","0.18","0.86 (0.65, 1.1)","ach_noj","0.17","0.91 (0.7, 1.14)"
"9_22","0.62 (0.37, 1)","0.65 (0.45, 0.84)","ach_noj","0.48","0.69 (0.5, 0.85)","P00_99","0.35","0.69 (0.55, 0.83)","Q00_99","0.17","0.7 (0.57, 0.83)"
"9_24","0.72 (0.42, 1.21)","0.67 (0.42, 0.94)","cJ20_J22","1","0.85 (0.5, 1.31)","P00_99","0.49","0.94 (0.62, 1.32)","Q00_99","0.42","0.83 (0.57, 1.24)"
