"","Lower CI","Point Estimate","Upper CI"
"9_1",0.420725388601036,0.716049382716049,1.26875
"9_10",0.567307692307692,0.753993610223642,1.08015346503474
"9_11",0.684187269365674,0.865760407816483,1.08867521367521
"9_12",0.473123732251521,0.700976709241172,0.858325666973321
"9_13",0.329310507514996,0.666666666666667,1.42702702702703
"9_14",0.867303259795851,1.18702118071203,1.64015075170107
"9_15",0.622394010489467,0.718454755406257,0.845355731225296
"9_16",0.823770417106161,1.08847497089639,1.26865671641791
"9_17",0.545578231292517,0.717352415026834,0.934731934731935
"9_19",0.569686777127095,0.696692111959287,0.9934868321892
"9_2",0.713393476752255,0.966165413533835,1.28826095980227
"9_20",0.610977564102564,0.954317897371715,1.21031746031746
"9_21",0.684438040345821,0.838728663919953,1.00140548137737
"9_22",0.446973341514112,0.652,0.841652323580034
"9_23",0.858369098712446,1.13314447592068,1.53271441202475
"9_24",0.418184431654518,0.674849972722313,0.940684410646388
"9_25",0.626009693053312,0.868834080717489,1.23211446740859
"9_26",0.511153173230209,0.771861260381045,1.02399586265911
"9_27",1.09146140504937,1.30358632193495,1.52785923753666
"9_28",0.777438197589918,1.12858660998937,1.51066856330014
"9_29",0.530747387686827,0.819645732689211,1.31865284974093
"9_30",0.6983511205021,0.833659491193738,1.00473674346451
"9_31",0.523105360443623,1.01615798922801,1.72036474164134
"9_32",0.824434389140271,1.06674473067916,1.35163204747774
"9_4",0.716901408450704,0.859797297297297,1.02828282828283
"9_5",0.440833333333333,0.786032689450223,1.50932637049113
"9_7",0.757668711656442,0.93763557483731,1.15189873417722
"9_8",0.756157956793843,0.978887744593203,1.24903498415957
"9_9",0.914918414918415,1.04492512479201,1.18089507333584
