"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","9_1",0.233,0.001,0.766,0
"2","9_10",0.421,0,0,0.579
"3","9_11",0.879,0,0.121,0
"4","9_12",1,0,0,0
"5","9_13",0.11,0,0,0.89
"6","9_14",0.33,0,0,0.67
"7","9_15",0.934,0,0,0.066
"8","9_16",0.8,0,0,0.2
"9","9_17",0.901,0,0.099,0
"10","9_19",0.786,0,0,0.214
"11","9_2",0.676,0.149,0.167,0.009
"12","9_20",1,0,0,0
"13","9_21",1,0,0,0
"14","9_22",0,0,1,0
"15","9_23",0.694,0.129,0,0.177
"16","9_24",0.495,0,0,0.505
"17","9_25",0.895,0,0.105,0
"18","9_26",0.779,0,0.221,0
"19","9_27",0.876,0,0,0.124
"20","9_28",0.905,0.095,0,0
"21","9_29",0.848,0,0,0.152
"22","9_30",0.976,0.024,0,0
"23","9_31",0,0.174,0.796,0.03
"24","9_32",0,0.004,0,0.996
"25","9_4",0.976,0,0,0.024
"26","9_5",0,0,0.625,0.375
"27","9_7",0.93,0,0,0.07
"28","9_8",0.38,0,0,0.62
"29","9_9",0.841,0,0,0.159
