"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","09_1_11",0.546,0,0.454,0
"2","09_1_12",0.026,0,0.602,0.373
"3","09_1_13",0,0.396,0.604,0
"4","09_1_14",0,0.995,0.005,0
"5","09_1_15",0.946,0.054,0,0
"6","09_1_16",0.001,0,0.152,0.847
"7","09_1_17",0.059,0.164,0,0.777
"8","09_2_21",0.466,0.534,0,0
"9","09_2_22",0.435,0.565,0,0
"10","09_2_23",0.067,0,0.047,0.885
"11","09_2_24",0,0,0.401,0.599
"12","09_2_25",0.4,0.213,0,0.388
"13","09_2_26",0.875,0.021,0.104,0
"14","09_2_27",0,0.662,0.338,0
"15","09_2_28",0,0.169,0.709,0.122
"16","09_2_29",0.852,0,0.148,0
"17","09_3_31",0.841,0.158,0,0
"18","09_3_32",0.97,0,0,0.03
"19","09_3_33",1,0,0,0
"20","09_3_35",0.917,0.082,0,0
"21","09_4_41",0.434,0,0,0.565
"22","09_4_42",0.511,0.447,0,0.042
"23","09_4_43",0.454,0,0.27,0.276
"24","09_5_50",0.829,0,0,0.171
"25","09_5_51",0.805,0,0,0.195
"26","09_5_52",0.977,0,0.023,0
"27","09_5_53",0.712,0.288,0,0
"28","09_1_AA",0.541,0.028,0,0.431
"29","09_2_AA",0.648,0.257,0.095,0
"30","09_3_AA",0.9,0,0.1,0
"31","09_4_AA",0,0.268,0.253,0.479
"32","09_5_AA",0.999,0,0.001,0
"33","09_A_AA",0.854,0.146,0,0
