"","Time trend Estimate (95% CI)"
"09_1_11","0.8 (0.53, 1.16)"
"09_1_12","1.18 (0.77, 1.77)"
"09_1_13","1.18 (0.8, 1.74)"
"09_1_14","0.91 (0.58, 1.39)"
"09_1_15","0.82 (0.67, 1.02)"
"09_1_16","1 (0.69, 1.43)"
"09_1_17","0.4 (0.29, 0.54)"
"09_2_21","0.59 (0.42, 0.78)"
"09_2_22","0.59 (0.42, 0.8)"
"09_2_23","0.55 (0.43, 0.7)"
"09_2_24","0.56 (0.43, 0.72)"
"09_2_25","0.53 (0.42, 0.68)"
"09_2_26","0.48 (0.35, 0.66)"
"09_2_27","0.49 (0.37, 0.67)"
"09_2_28","0.39 (0.28, 0.52)"
"09_2_29","0.65 (0.58, 0.74)"
"09_3_31","0.65 (0.53, 0.79)"
"09_3_32","0.48 (0.36, 0.62)"
"09_3_33","0.52 (0.41, 0.65)"
"09_3_35","0.95 (0.78, 1.15)"
"09_4_41","0.91 (0.75, 1.1)"
"09_4_42","0.92 (0.76, 1.12)"
"09_4_43","1.01 (0.86, 1.19)"
"09_5_50","0.69 (0.52, 0.91)"
"09_5_51","0.77 (0.6, 0.98)"
"09_5_52","0.8 (0.56, 1.08)"
"09_5_53","0.74 (0.51, 1.04)"
"09_1_AA","0.86 (0.73, 1.03)"
"09_2_AA","0.58 (0.48, 0.7)"
"09_3_AA","0.8 (0.68, 0.94)"
"09_4_AA","0.96 (0.83, 1.11)"
"09_5_AA","0.77 (0.58, 1)"
"09_A_AA","0.74 (0.65, 0.84)"
