"","STL+PCA Estimate (95% CI)"
"09_1_11","0.82 (0.54, 1.25)"
"09_1_12","0.56 (0.45, 0.69)"
"09_1_13","1.07 (0.82, 1.35)"
"09_1_14","1.51 (1.21, 1.86)"
"09_1_15","0.73 (0.62, 0.85)"
"09_1_16","1.1 (0.89, 1.36)"
"09_1_17","0.42 (0.29, 0.61)"
"09_2_21","0.73 (0.59, 0.89)"
"09_2_22","0.57 (0.39, 0.79)"
"09_2_23","0.56 (0.45, 0.68)"
"09_2_24","0.65 (0.56, 0.76)"
"09_2_25","0.64 (0.53, 0.76)"
"09_2_26","0.64 (0.48, 0.84)"
"09_2_27","0.68 (0.47, 0.95)"
"09_2_28","0.67 (0.38, 1.22)"
"09_2_29","0.78 (0.71, 0.87)"
"09_3_31","0.66 (0.59, 0.74)"
"09_3_32","0.43 (0.31, 0.61)"
"09_3_33","0.62 (0.51, 0.74)"
"09_3_35","0.98 (0.84, 1.2)"
"09_4_41","1.07 (0.91, 1.27)"
"09_4_42","0.62 (0.4, 0.92)"
"09_4_43","0.9 (0.81, 0.99)"
"09_5_50","0.49 (0.36, 0.65)"
"09_5_51","0.8 (0.68, 0.92)"
"09_5_52","0.88 (0.66, 1.17)"
"09_5_53","0.81 (0.58, 1.16)"
"09_1_AA","0.89 (0.78, 1.02)"
"09_2_AA","0.73 (0.65, 0.82)"
"09_3_AA","0.87 (0.71, 1.02)"
"09_4_AA","1 (0.9, 1.1)"
"09_5_AA","0.86 (0.7, 1.02)"
"09_A_AA","0.84 (0.74, 0.93)"
