"","SC Estimate (95% CI)"
"09_1_11","0.78 (0.56, 1.07)"
"09_1_12","0.59 (0.45, 0.84)"
"09_1_13","1.18 (0.82, 1.92)"
"09_1_14","1.22 (0.88, 1.69)"
"09_1_15","0.67 (0.6, 0.79)"
"09_1_16","1.23 (0.97, 1.5)"
"09_1_17","0.56 (0.37, 0.84)"
"09_2_21","0.76 (0.66, 1.18)"
"09_2_22","0.7 (0.45, 0.94)"
"09_2_23","0.66 (0.57, 0.75)"
"09_2_24","0.59 (0.51, 0.7)"
"09_2_25","0.73 (0.52, 0.89)"
"09_2_26","0.66 (0.54, 0.81)"
"09_2_27","0.72 (0.58, 0.84)"
"09_2_28","0.64 (0.46, 0.92)"
"09_2_29","0.56 (0.51, 0.63)"
"09_3_31","0.53 (0.46, 0.65)"
"09_3_32","0.46 (0.39, 0.53)"
"09_3_33","0.74 (0.64, 0.84)"
"09_3_35","0.93 (0.83, 1.03)"
"09_4_41","0.85 (0.65, 1.02)"
"09_4_42","0.7 (0.59, 0.84)"
"09_4_43","0.83 (0.75, 0.93)"
"09_5_50","0.77 (0.68, 0.89)"
"09_5_51","0.72 (0.61, 0.8)"
"09_5_52","0.58 (0.5, 0.68)"
"09_5_53","0.44 (0.37, 0.58)"
"09_1_AA","0.9 (0.78, 1.01)"
"09_2_AA","0.58 (0.53, 0.63)"
"09_3_AA","0.78 (0.71, 0.91)"
"09_4_AA","0.76 (0.68, 0.85)"
"09_5_AA","0.67 (0.55, 0.77)"
"09_A_AA","0.75 (0.71, 0.8)"
