"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"09_1_11",0.53,0.8,1.16,"0.560479018405909","0.782426778242678","1.0702532621808","cj20_J22","1","0.49","0.8","1.11","ach_noj","0.98","0.6","0.89","1.14","P00_99","0.94","0.63","0.89","1.16"
"09_1_12",0.77,1.18,1.77,"0.446716524110941","0.59289790741915","0.836333565822073","cj20_J22","0.72","0.44","0.57","0.74","ach_noj","0.52","0.43","0.56","0.72","P00_99","0.28","0.43","0.56","0.7"
"09_1_13",0.8,1.18,1.74,"0.819705216546583","1.17938790560472","1.92334579006144","a10_b99_nopneumo","0.61","0.78","1.04","1.43","K00_99","0.29","0.79","1.12","1.41","L00_99","0.24","0.77","1.09","1.4"
"09_1_14",0.58,0.91,1.39,"0.883295194508009","1.21574803149606","1.68932415558394","ach_noj","1","0.74","1.14","1.64","P00_99","0.73","1.39","1.95","2.62","P05_07","0.2","1.36","1.94","2.63"
"09_1_15",0.67,0.82,1.02,"0.598205894632121","0.665982438134337","0.786692238741672","cj20_J22","1","0.62","0.69","0.76","E40_46","0.32","0.62","0.69","0.76","A41","0.07","0.62","0.69","0.76"
"09_1_16",0.69,1,1.43,"0.965281522394891","1.22857142857143","1.49686507160969","a10_b99_nopneumo","0.33","0.95","1.2","1.47","ach_noj","0.3","0.95","1.23","1.5","P00_99","0.17","1.02","1.25","1.51"
"09_1_17",0.29,0.4,0.54,"0.368028750166378","0.556842216903747","0.837371290127196","P00_99","0.68","0.62","0.75","0.88","ach_noj","0.14","0.62","0.75","0.88","N00_99","0.05","0.64","0.76","0.88"
"09_2_21",0.42,0.59,0.78,"0.657682685151324","0.759595293082591","1.18473921499735","cj20_J22","1","0.65","0.8","0.95","ach_noj","0.83","0.65","0.79","0.93","K00_99","0.82","0.67","0.8","0.95"
"09_2_22",0.42,0.59,0.8,"0.446259678704635","0.703186537773004","0.942429736934493","cj20_J22","1","0.36","0.43","0.66","P05_07","0.92","0.36","0.43","0.5","P00_99","0.66","0.36","0.42","0.5"
"09_2_23",0.43,0.55,0.7,"0.570687167541312","0.655043310232178","0.750546646947013","cj20_J22","0.96","0.58","0.68","0.78","P00_99","0.52","0.56","0.67","0.77","N00_99","0.28","0.56","0.66","0.78"
"09_2_24",0.43,0.56,0.72,"0.507823960880196","0.591569353460553","0.695818224837323","ach_noj","0.41","0.5","0.58","0.68","L00_99","0.18","0.5","0.58","0.67","a10_b99_nopneumo","0.16","0.5","0.58","0.66"
"09_2_25",0.42,0.53,0.68,"0.521982849736055","0.725637951704059","0.893886572101682","cj20_J22","0.94","0.7","0.8","0.9","E00_99","0.63","0.69","0.8","0.9","P00_99","0.48","0.72","0.81","0.91"
