"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"0",0.74,0.87,1,"0.748415531452052","0.836318081737595","1.01077975860492","cJ20_J22","1","0.75","0.91","1.1","E00_99","1","0.74","0.91","1.13","S00_T99","0.36","0.76","0.88","1.15"
"1",0.62,0.72,0.8,"0.730716148112237","0.77282061952453","0.814074064771995","cJ20_J22","1","0.71","0.75","0.8","E40_46","1","0.7","0.75","0.8","K00_99","0.05","0.69","0.75","0.79"
"2",0.67,0.76,0.87,"0.724637554779844","0.768418220846675","0.822721737722308","cJ20_J22","1","0.72","0.79","0.87","E40_46","1","0.68","0.74","0.85","P00_99","0.37","0.67","0.75","0.8"
"3",0.74,0.83,0.91,"0.709061160997573","0.754770733144504","0.836411573389193","cJ20_J22","0.4","0.72","0.79","0.85","K00_99","0.33","0.7","0.74","0.78","L00_99","0.29","0.69","0.74","0.79"
"4",0.69,0.78,0.88,"0.717495101967426","0.801465660554889","0.910759825756069","pandemic","1","0.66","0.73","0.81","E00_99","0.69","0.64","0.74","0.84","A10_B99_nopneumo","0.63","0.62","0.72","0.87"
"5",0.71,0.85,0.99,"0.732304365050993","0.824085715877995","0.906256325530223","pandemic","1","0.57","0.64","0.73","A41","0.85","0.66","0.78","0.86","K80","0.81","0.64","0.72","0.79"
"6",0.85,0.94,1.06,"0.829728663106447","0.962950607024058","1.10296656800344","pandemic","1","0.75","0.85","1.1","Z00_99","0.51","0.74","0.85","0.96","E10_14","0.42","0.79","1.01","1.09"
"7",0.87,0.95,1.06,"0.793828981300423","0.88342006153921","0.984237831326152","A41","1","0.85","1.02","1.18","I00_99","1","0.9","1","1.11","K00_99","0.11","0.84","1.05","1.16"
"8",0.91,0.99,1.08,"0.901936534256378","1.00747898719136","1.13574580411315","A41","0.6","0.88","1.04","1.15","I00_99","0.47","0.9","1.01","1.11","H00_99_SY","0.44","0.86","0.97","1.09"
"9",0.63,0.73,0.82,"0.714026875678535","0.749623863210533","0.789519975171529","cJ20_J22","1","0.78","0.85","0.95","E40_46","1","0.7","0.8","1","H00_99_SY","0.06","0.68","0.76","0.91"
