"","STL+PCA Estimate (95% CI)"
"0","0.93 (0.78, 1.06)"
"1","0.83 (0.76, 0.91)"
"2","0.79 (0.72, 0.87)"
"3","0.82 (0.73, 0.9)"
"4","0.76 (0.67, 0.86)"
"5","0.84 (0.72, 0.96)"
"6","0.83 (0.75, 0.93)"
"7","0.96 (0.87, 1.06)"
"8","1 (0.92, 1.09)"
"9","0.85 (0.77, 0.95)"
