"","SC Estimate (95% CI)"
"0","0.84 (0.75, 1.01)"
"1","0.77 (0.73, 0.81)"
"2","0.77 (0.72, 0.82)"
"3","0.75 (0.71, 0.84)"
"4","0.8 (0.72, 0.91)"
"5","0.82 (0.73, 0.91)"
"6","0.96 (0.83, 1.1)"
"7","0.88 (0.79, 0.98)"
"8","1.01 (0.9, 1.14)"
"9","0.75 (0.71, 0.79)"
