"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","0",0.939,0.061,0,0
"2","1",1,0,0,0
"3","2",0.974,0.026,0,0
"4","3",0,0.866,0.134,0
"5","4",0.139,0.327,0.535,0
"6","5",0.891,0,0.109,0
"7","6",0.537,0.059,0,0.404
"8","7",0.673,0,0.066,0.261
"9","8",0,0,0,1
"10","9",0.872,0.128,0,0
