"","Time trend Estimate (95% CI)"
"0","0.87 (0.74, 1)"
"1","0.72 (0.62, 0.8)"
"2","0.76 (0.67, 0.87)"
"3","0.83 (0.74, 0.91)"
"4","0.78 (0.69, 0.88)"
"5","0.85 (0.71, 0.99)"
"6","0.94 (0.85, 1.06)"
"7","0.95 (0.87, 1.06)"
"8","0.99 (0.91, 1.08)"
"9","0.73 (0.63, 0.82)"
