"","SC Estimate (95% CI)"
"0","0.9 (0.85, 0.95)"
"1","0.92 (0.85, 0.96)"
"2","0.93 (0.88, 0.98)"
"3","0.97 (0.89, 1.03)"
"4","0.96 (0.86, 1.05)"
"5","1.15 (1.03, 1.23)"
"6","0.93 (0.86, 1.03)"
"7","1.01 (0.86, 1.08)"
"8","0.98 (0.91, 1.04)"
"9","0.92 (0.85, 0.97)"
