"","STL+PCA Estimate (95% CI)"
"0","0.93 (0.87, 0.98)"
"1","0.86 (0.81, 0.91)"
"2","0.88 (0.83, 0.94)"
"3","0.98 (0.93, 1.04)"
"4","0.95 (0.91, 1)"
"5","0.93 (0.9, 0.97)"
"6","0.97 (0.93, 1.01)"
"7","0.95 (0.92, 0.99)"
"8","0.94 (0.89, 0.98)"
"9","0.86 (0.81, 0.91)"
