"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","0",0.947,0,0.053,0
"2","1",0.846,0,0,0.154
"3","2",0.78,0,0,0.22
"4","3",0.494,0,0,0.506
"5","4",0.555,0.011,0,0.434
"6","5",0.609,0,0,0.391
"7","6",0.837,0,0,0.163
"8","7",0.948,0,0,0.052
"9","8",1,0,0,0
"10","9",0.866,0,0.134,0
