"","STL+PCA Estimate (95% CI)"
"92_1","0.97 (0.82, 1.16)"
"92_2","1.02 (0.78, 1.33)"
"92_3","0.71 (0.57, 0.86)"
"92_4","0.84 (0.73, 0.97)"
"92_5","0.8 (0.67, 0.94)"
"92_6","0.75 (0.64, 0.88)"
"92_7","0.66 (0.55, 0.8)"
"92_8","0.73 (0.61, 0.86)"
"92_9","0.85 (0.62, 1.18)"
"92_10","0.56 (0.5, 0.62)"
"92_11","0.52 (0.42, 0.63)"
"92_12","0.32 (0.26, 0.41)"
"92_13","0.97 (0.8, 1.15)"
"92_14","1.02 (0.87, 1.2)"
"92_15","0.72 (0.58, 0.9)"
