"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","92_1",0,0,0.08,0.92
"2","92_2",0.269,0.731,0,0
"3","92_3",0.181,0,0,0.819
"4","92_4",0.997,0,0.003,0
"5","92_5",0.877,0,0,0.123
"6","92_6",0.075,0,0.858,0.068
"7","92_7",0.467,0,0.533,0
"8","92_8",0.943,0,0.039,0.018
"9","92_9",0.961,0.039,0,0
"10","92_10",0.258,0,0.501,0.241
"11","92_11",0.864,0.136,0,0
"12","92_12",0,0.379,0.099,0.522
"13","92_13",0.99,0,0.01,0
"14","92_14",0.641,0,0,0.359
"15","92_15",0,0,0.114,0.886
