"","Time trend Estimate (95% CI)"
"92_1","1.55 (1.16, 2.06)"
"92_2","1.28 (1, 1.63)"
"92_3","1.38 (0.99, 1.91)"
"92_4","0.95 (0.77, 1.15)"
"92_5","0.83 (0.66, 1.05)"
"92_6","0.88 (0.71, 1.09)"
"92_7","0.78 (0.63, 0.97)"
"92_8","0.81 (0.65, 0.99)"
"92_9","0.82 (0.65, 1.03)"
"92_10","0.82 (0.7, 0.98)"
"92_11","0.6 (0.42, 0.83)"
"92_12","1.52 (1.03, 2.35)"
"92_13","1.23 (1, 1.55)"
"92_14","0.83 (0.66, 1.04)"
"92_15","1.03 (0.7, 1.52)"
