"","SC Estimate (95% CI)"
"92_1","0.84 (0.69, 1.02)"
"92_2","0.41 (0.29, 0.57)"
"92_3","0.81 (0.63, 1.03)"
"92_4","0.84 (0.73, 0.96)"
"92_5","0.63 (0.54, 0.72)"
"92_6","0.71 (0.58, 0.86)"
"92_7","0.61 (0.5, 0.71)"
"92_8","0.64 (0.58, 0.72)"
"92_9","0.53 (0.41, 0.72)"
"92_10","0.54 (0.49, 0.61)"
"92_11","0.52 (0.42, 0.63)"
"92_12","0.37 (0.28, 0.48)"
"92_13","0.54 (0.46, 0.63)"
"92_14","0.76 (0.63, 0.91)"
"92_15","0.7 (0.55, 0.89)"
