"","ITS Estimate (95% CI)"
"0","0.85 (0.74, 0.99)"
"1","0.71 (0.61, 0.81)"
"2","0.8 (0.69, 1)"
"3","0.85 (0.76, 0.9)"
"4","0.8 (0.74, 0.85)"
"5","0.86 (0.79, 0.93)"
"6","0.99 (0.91, 1.04)"
"7","0.97 (0.86, 1.14)"
"8","0.98 (0.9, 1.09)"
"9","0.78 (0.7, 0.83)"
