"","waic_1","waic_2"
"0",4991.68751529606,77225.1282819483
"1",122314.623496724,30931119.3352401
"2",68009.9980727854,10291859.0948806
"3",14149.1775297717,570111.356857375
"4",2874.77317411942,14867.768701377
"5",2834.92338620187,14082.3137657594
"6",8083.19027185481,146896.055442616
"7",7248.22804780293,132748.935119969
"8",11594.7278199805,295173.731940839
"9",13248.6026787653,509594.563789796
