"","Estimate (95% CI)"
"0","0.84 (0.75, 1.03)"
"1","0.77 (0.73, 0.82)"
"2","0.76 (0.72, 0.87)"
"3","0.79 (0.73, 0.91)"
"4","0.79 (0.65, 0.9)"
"5","0.8 (0.68, 0.9)"
"6","0.94 (0.78, 1.13)"
"7","0.99 (0.9, 1.41)"
"8","0.99 (0.87, 1.19)"
"9","0.75 (0.72, 0.95)"
