"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","0",0.328,0.529,0,0.142
"2","1",0.319,0.4,0,0.281
"3","2",0.242,0,0,0.758
"4","3",0.293,0,0,0.707
"5","4",0.697,0,0,0.303
"6","5",0.743,0,0,0.257
"7","6",1,0,0,0
"8","7",0.621,0.379,0,0
"9","8",0.999,0,0.001,0
"10","9",0.562,0,0,0.438
