"","SC Estimate (95% CI)"
"0","0.89 (0.73, 1.09)"
"1","1 (0.86, 1.18)"
"2","1.05 (0.9, 1.2)"
"3","1 (0.87, 1.17)"
"4","0.88 (0.8, 1)"
"5","0.81 (0.67, 0.97)"
"6","0.85 (0.74, 0.97)"
"7","0.92 (0.79, 1.06)"
"8","1 (0.87, 1.14)"
"9","0.85 (0.74, 0.97)"
