"","STL+PCA Estimate (95% CI)"
"0","1.03 (0.87, 1.23)"
"1","1.04 (0.92, 1.19)"
"2","0.78 (0.68, 0.89)"
"3","0.8 (0.71, 0.9)"
"4","0.78 (0.69, 0.88)"
"5","0.68 (0.57, 0.81)"
"6","0.76 (0.66, 0.87)"
"7","0.86 (0.76, 0.98)"
"8","0.96 (0.85, 1.09)"
"9","1.03 (0.9, 1.17)"
