"","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"08_1_11","1.38 (1.16, 1.6)","N00_99","0.96","1.26 (1.03, 1.63)","a10_b99_nopneumo","0.13","1.26 (1.03, 1.59)","S00_T99","0.05","1.26 (1.04, 1.6)"
"08_1_12","1.34 (1.1, 1.6)","I00_99","0.09","1.34 (1.06, 1.63)","N00_99","0.09","1.33 (1.06, 1.57)","pandemic","0.08","1.31 (1.04, 1.57)"
"08_1_13","1.09 (0.83, 1.37)","I00_99","0.22","1.1 (0.84, 1.4)","C00_D48","0.18","1.05 (0.82, 1.38)","N00_99","0.07","1.06 (0.82, 1.42)"
"08_1_15","1.21 (1.01, 1.42)","N00_99","0.94","1.18 (0.77, 1.46)","E00_99","0.08","1.18 (0.77, 1.45)","N39","0.06","1.18 (0.79, 1.46)"
"08_1_17","1.17 (1, 1.38)","E00_99","0.23","1.15 (0.97, 1.36)","E10_14","0.22","1.15 (0.97, 1.35)","I00_99","0.1","1.16 (1, 1.36)"
"08_2_21","1.14 (0.79, 1.47)","D50_89","0.87","1 (0.68, 1.44)","I00_99","0.24","0.98 (0.69, 1.46)","N39","0.19","0.94 (0.66, 1.35)"
"08_2_22","0.92 (0.74, 1.12)","I00_99","0.63","0.9 (0.72, 1.12)","E10_14","0.07","0.9 (0.72, 1.12)","D50_89","0.06","0.9 (0.71, 1.12)"
"08_2_23","0.97 (0.83, 1.18)","M00_99","0.97","1.18 (0.97, 1.34)","E00_99","0.83","1.2 (0.96, 1.35)","E10_14","0.15","1.19 (0.96, 1.57)"
"08_2_24","1 (0.83, 1.2)","I60_64","0.98","1.2 (0.97, 1.48)","a10_b99_nopneumo","0.54","1.2 (0.96, 1.5)","I00_99","0.04","1.16 (0.9, 1.4)"
"08_2_25","1.68 (1.07, 2.23)","E00_99","0.99","1.69 (1.07, 2.33)","I00_99","0.84","1.59 (0.99, 1.99)","E10_14","0.29","1.63 (1.03, 2.01)"
"08_2_26","1.45 (1.25, 1.87)","S00_T99","0.94","1.59 (1.33, 1.95)","E00_99","0.2","1.47 (1.2, 1.74)","I00_99","0.17","1.5 (1.2, 1.74)"
