"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI"
"08_1_11",0.954379562043796,1.20368239355581,1.54050073637703
"08_1_12",0.777335984095427,1.1235632183908,1.60905349794239
"08_1_13",0.675693044563856,0.896744272266741,1.16990291262136
"08_1_15",0.833750877745709,1.04,1.29489920800305
"08_1_17",0.745026178010471,0.921035598705502,1.14481094127112
"08_2_21",0.557706407077822,0.734334434109751,0.948658109684947
"08_2_22",0.786379209548874,1.01093926820068,1.29094412331407
"08_2_23",0.79521501289045,0.978648170814634,1.22361183487239
"08_2_24",0.677069406774988,0.859134262655906,1.08530190367037
"08_2_25",0.898422712933754,1.13285600636436,1.42900150526844
"08_2_26",1.20801243130336,1.42372209839329,1.66947940220601
"08_2_27",0.793723737282524,1.06776556776557,1.44485749690211
"08_2_28",0.9888,1.35824175824176,1.88990825688073
"08_2_29",0.737791753735366,0.869239415511427,1.02507739199106
"08_3_31",0.837998581574751,0.932558379475187,1.03544497682949
"08_3_32",0.869123224320906,0.989095744680851,1.12766167370487
"08_3_33",0.88829026937878,1.01107565629606,1.15430775825118
"08_3_35",0.884804127936455,0.973600945776565,1.07176467495597
"08_4_41",0.803953316729544,0.889878795218375,0.985170828495043
"08_4_42",0.964019781014814,1.07389749702026,1.1943661971831
"08_4_43",0.684244699903994,0.788978424746556,0.902527505203687
"08_5_50",0.983207045693117,1.17970565453137,1.40692840646651
"08_5_51",0.857023759899958,1.04101265822785,1.2667898952557
"08_5_52",0.87316760026731,1.06212914485166,1.28072390572391
"08_5_53",0.883505530171372,1.09692307692308,1.35425820306999
"08_1_AA",0.90207238438868,1.03559302189439,1.20487671979294
"08_2_AA",0.851574863088876,0.998443090874327,1.16570027244764
"08_3_AA",0.874723579180593,0.966394198259922,1.07098276567786
"08_4_AA",0.811617949353652,0.885966565069368,0.964345282038662
"08_5_AA",0.94856369378854,1.10281517747858,1.27763231988612
"08_A_AA",0.903509734171198,0.981910663214423,1.08623067293415
