"","STL+PCA Estimate (95% CI)"
"08_1_11","1.11 (0.88, 1.41)"
"08_1_12","1.23 (0.99, 1.54)"
"08_1_13","0.87 (0.66, 1.11)"
"08_1_15","1 (0.81, 1.23)"
"08_1_17","1.11 (0.94, 1.3)"
"08_2_21","0.65 (0.41, 1.01)"
"08_2_22","0.87 (0.69, 1.11)"
"08_2_23","1.15 (1.01, 1.31)"
"08_2_24","0.81 (0.67, 0.98)"
"08_2_25","0.95 (0.77, 1.17)"
"08_2_26","1.44 (1.21, 1.72)"
"08_2_27","0.77 (0.58, 1.04)"
"08_2_28","1.46 (1.23, 1.74)"
"08_2_29","0.89 (0.77, 1.03)"
"08_3_31","0.89 (0.78, 1.02)"
"08_3_32","1.11 (0.96, 1.28)"
"08_3_33","1.01 (0.88, 1.16)"
"08_3_35","0.98 (0.89, 1.08)"
"08_4_41","0.89 (0.8, 0.99)"
"08_4_42","0.83 (0.72, 0.94)"
"08_4_43","0.94 (0.84, 1.06)"
"08_5_50","1.29 (1.07, 1.56)"
"08_5_51","1.15 (0.86, 1.53)"
"08_5_52","1.12 (0.95, 1.3)"
"08_5_53","1.19 (1.05, 1.36)"
"08_1_AA","1.04 (0.92, 1.19)"
"08_2_AA","0.97 (0.85, 1.11)"
"08_3_AA","0.98 (0.88, 1.07)"
"08_4_AA","0.94 (0.86, 1.01)"
"08_5_AA","1.06 (0.92, 1.24)"
"08_A_AA","0.99 (0.91, 1.08)"
