"","Time trend Estimate (95% CI)"
"0","0.87 (0.75, 1.01)"
"1","0.69 (0.6, 0.8)"
"2","0.76 (0.67, 0.89)"
"3","0.82 (0.74, 0.91)"
"4","0.77 (0.69, 0.85)"
"5","0.85 (0.74, 0.99)"
"6","0.95 (0.85, 1.05)"
"7","0.97 (0.88, 1.06)"
"8","0.98 (0.9, 1.08)"
"9","0.75 (0.66, 0.85)"
