"","SC Estimate (95% CI)"
"0","0.83 (0.75, 0.97)"
"1","0.77 (0.72, 0.82)"
"2","0.76 (0.73, 0.8)"
"3","0.77 (0.69, 0.84)"
"4","0.81 (0.72, 0.89)"
"5","0.81 (0.71, 0.94)"
"6","0.85 (0.75, 0.97)"
"7","0.9 (0.79, 1.18)"
"8","0.98 (0.89, 1.1)"
"9","0.75 (0.71, 0.79)"
