"","STL+PCA Estimate (95% CI)"
"0","0.95 (0.79, 1.09)"
"1","0.83 (0.75, 0.91)"
"2","0.8 (0.73, 0.86)"
"3","0.81 (0.74, 0.91)"
"4","0.75 (0.65, 0.86)"
"5","0.84 (0.74, 0.95)"
"6","0.83 (0.74, 0.93)"
"7","0.96 (0.87, 1.03)"
"8","1 (0.92, 1.08)"
"9","0.83 (0.75, 0.92)"
