"","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"0","0.747868280818086","0.834485459307636","1.03764698519292","cJ20_J22","1","0.74","0.89","1.09","E00_99","1","0.74","0.9","1.12","M00_99","0.47","0.75","0.95","1.15"
"1","0.71994369967113","0.77290513601727","0.81794981046057","cJ20_J22","1","0.71","0.76","0.9","E40_46","1","0.71","0.76","0.95","K00_99","0.17","0.69","0.76","0.94"
"2","0.725586094571105","0.76725804160826","0.860642501761276","cJ20_J22","1","0.73","0.8","0.96","E40_46","1","0.68","0.75","0.96","N39","0.45","0.67","0.77","0.92"
"3","0.705572754567692","0.750427059324047","0.926054355390332","cJ20_J22","0.46","0.71","0.79","0.92","P00_99","0.42","0.71","0.78","0.92","K35","0.16","0.7","0.78","0.89"
"4","0.705251193537663","0.8041111082617","0.908492689028144","pandemic","1","0.56","0.68","0.83","E00_99","0.82","0.57","0.74","0.81","Z00_99","0.61","0.6","0.71","0.82"
"5","0.709125982304455","0.814361086404258","0.905640050954142","pandemic","1","0.54","0.65","0.82","A41","1","0.65","0.78","0.88","I00_99","0.73","0.67","0.81","0.91"
"6","0.784268215823655","0.967335134635599","1.18401921974433","pandemic","1","0.67","0.82","0.94","L00_99","0.5","0.67","0.87","1.01","E00_99","0.48","0.64","0.89","1"
"7","0.838578854677669","0.995628134587585","1.37398119777911","H00_99_SY","0.65","0.8","0.95","1.24","I00_99","0.49","0.82","0.94","1.18","K80","0.43","0.98","1.09","1.22"
"8","0.875780798850583","1.01309677910607","1.18569901589483","I00_99","0.66","0.87","0.97","1.12","A41","0.63","0.9","1.02","1.14","K80","0.32","0.88","1.03","1.14"
"9","0.717714330784451","0.752342477873774","0.943391205392805","cJ20_J22","1","0.75","0.84","1","E40_46","1","0.68","0.79","0.94","E00_99","0.16","0.69","0.75","0.86"
