"","ITS Estimate (95% CI)"
"0","0.84 (0.65, 0.99)"
"1","0.71 (0.61, 0.84)"
"2","0.76 (0.66, 0.87)"
"3","0.86 (0.79, 0.91)"
"4","0.8 (0.75, 0.86)"
"5","0.86 (0.78, 0.94)"
"6","0.99 (0.89, 1.05)"
"7","1.08 (0.87, 1.15)"
"8","0.98 (0.9, 1.08)"
"9","0.78 (0.72, 0.84)"
