"","Estimate (95% CI)"
"0","0.83 (0.75, 1.04)"
"1","0.77 (0.72, 0.82)"
"2","0.77 (0.73, 0.86)"
"3","0.75 (0.71, 0.93)"
"4","0.8 (0.71, 0.91)"
"5","0.81 (0.71, 0.91)"
"6","0.97 (0.78, 1.18)"
"7","1 (0.84, 1.37)"
"8","1.01 (0.88, 1.19)"
"9","0.75 (0.72, 0.94)"
