"","Time trend Estimate (95% CI)"
"0","0.86 (0.74, 0.98)"
"1","0.72 (0.63, 0.82)"
"2","0.76 (0.67, 0.85)"
"3","0.82 (0.72, 0.91)"
"4","0.79 (0.7, 0.9)"
"5","0.83 (0.72, 0.96)"
"6","0.95 (0.85, 1.06)"
"7","0.97 (0.88, 1.07)"
"8","0.98 (0.91, 1.08)"
"9","0.72 (0.64, 0.84)"
