"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","0",0.886,0.114,0,0
"2","1",0.963,0,0,0.037
"3","2",0.951,0.049,0,0
"4","3",0,0.815,0.185,0
"5","4",0.135,0,0.705,0.16
"6","5",0.873,0,0.127,0
"7","6",0.04,0.067,0,0.893
"8","7",0.922,0.078,0,0
"9","8",0.006,0,0,0.994
"10","9",0.946,0.045,0.009,0
