"","SC Estimate (95% CI)"
"0","0.82 (0.75, 0.97)"
"1","0.77 (0.72, 0.81)"
"2","0.76 (0.73, 0.8)"
"3","0.78 (0.71, 0.84)"
"4","0.81 (0.75, 0.9)"
"5","0.82 (0.74, 0.91)"
"6","1.01 (0.82, 1.12)"
"7","0.93 (0.82, 1.07)"
"8","0.98 (0.87, 1.08)"
"9","0.75 (0.71, 0.82)"
