"","STL+PCA Estimate (95% CI)"
"0","0.93 (0.79, 1.08)"
"1","0.83 (0.76, 0.92)"
"2","0.79 (0.74, 0.86)"
"3","0.81 (0.74, 0.9)"
"4","0.76 (0.65, 0.87)"
"5","0.87 (0.74, 1.01)"
"6","0.84 (0.76, 0.94)"
"7","0.96 (0.88, 1.05)"
"8","0.99 (0.91, 1.09)"
"9","0.84 (0.75, 0.92)"
