"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","br_1_AA",0.45,0,0.21,0.34
"2","br_2_AA",0,0,0.156,0.844
"3","br_3_AA",0.466,0.032,0.106,0.396
