"","X2.5..br_1_AA","X50..br_1_AA","X97.5..br_1_AA","X2.5..br_2_AA","X50..br_2_AA","X97.5..br_2_AA","X2.5..br_3_AA","X50..br_3_AA","X97.5..br_3_AA"
"1",0.945726762320649,1.00932090545939,1.08285714285714,0.879545454545455,1.0078125,1.16566265060241,0.882352941176471,1.03174603174603,1.2111801242236
"2",0.951188986232791,1.01672240802676,1.0919736483304,0.904109589041096,1.03937007874016,1.2,0.91156462585034,1.06631299734748,1.25233644859813
"3",0.950439146800502,1.01814516129032,1.09386281588448,0.931034482758621,1.06860158311346,1.23475609756098,0.91609977324263,1.07446808510638,1.2625
"4",0.93887838689351,1.00743745774172,1.08206245461147,0.930715935334873,1.0718085106383,1.24,0.920273348519362,1.07446808510638,1.26645768025078
"5",0.926891290527654,0.993865030674847,1.0712711241734,0.93006993006993,1.07114286949754,1.246875,0.897727272727273,1.05333333333333,1.24213836477987
"6",0.895819935691318,0.961352657004831,1.03955223880597,0.931764705882353,1.07608695652174,1.24921135646688,0.895454545454546,1.05347593582888,1.25079365079365
"7",0.888802206776393,0.956613016095171,1.03482210446631,0.950118764845606,1.0989010989011,1.28205128205128,0.879271070615034,1.03485254691689,1.2332268370607
"8",0.876478318002628,0.943422913719943,1.02143950995406,0.930455635491607,1.07777777777778,1.25974025974026,0.863636363636364,1.02425876010782,1.22186495176849
"9",0.835761589403973,0.900785153461813,0.977536793183579,0.937349397590361,1.09269662921348,1.27960526315789,0.817767653758542,0.97027027027027,1.16181229773463
"10",0.830539859906604,0.896328293736501,0.97265625,0.965936739659367,1.12784090909091,1.32775919732441,0.787671232876712,0.940054495912807,1.12377850162866
"11",0.83141654008591,0.899055918663762,0.977111286503552,0.972972972972973,1.13793103448276,1.34237288135593,0.785388127853881,0.939890710382514,1.13157894736842
"12",0.840540540540541,0.910021945866862,0.989677614277245,0.952853598014888,1.11304347826087,1.31958762886598,0.77116704805492,0.925824175824176,1.1158940397351
"13",0.83956492182189,0.909425625920471,0.99037690457097,0.9425,1.10557184750733,1.31818181818182,0.76027397260274,0.917355371900826,1.11371237458194
