"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","0",0.89,0.005,0.104,0
"2","1",0.932,0.068,0,0
"3","2",0.979,0.021,0,0
"4","3",0,0.887,0.113,0
"5","4",0.356,0.151,0.493,0
"6","5",0.847,0.002,0.151,0
"7","6",0.396,0,0.088,0.516
"8","7",0.582,0,0,0.418
"9","8",0,0.076,0,0.923
"10","9",0.886,0.114,0,0
