"","STL+PCA Estimate (95% CI)"
"0","0.93 (0.79, 1.09)"
"1","0.82 (0.76, 0.9)"
"2","0.8 (0.73, 0.86)"
"3","0.82 (0.72, 0.9)"
"4","0.75 (0.64, 0.87)"
"5","0.84 (0.73, 0.96)"
"6","0.84 (0.76, 0.92)"
"7","0.95 (0.87, 1.05)"
"8","0.99 (0.92, 1.07)"
"9","0.84 (0.75, 0.94)"
