"","SC Estimate (95% CI)"
"0","0.82 (0.75, 0.98)"
"1","0.77 (0.74, 0.81)"
"2","0.77 (0.72, 0.82)"
"3","0.8 (0.75, 0.85)"
"4","0.8 (0.72, 0.91)"
"5","0.82 (0.72, 0.89)"
"6","1.06 (0.96, 1.19)"
"7","1.1 (0.93, 1.18)"
"8","0.97 (0.88, 1.1)"
"9","0.75 (0.72, 0.79)"
