"","Time trend Estimate (95% CI)"
"0","0.86 (0.73, 0.98)"
"1","0.72 (0.61, 0.82)"
"2","0.76 (0.66, 0.87)"
"3","0.82 (0.74, 0.91)"
"4","0.77 (0.67, 0.86)"
"5","0.85 (0.73, 0.96)"
"6","0.95 (0.85, 1.05)"
"7","0.97 (0.88, 1.07)"
"8","0.99 (0.9, 1.08)"
"9","0.74 (0.67, 0.84)"
