"","Time trend Estimate (95% CI)"
"92_1","1.57 (1.19, 2.08)"
"92_2","1.27 (0.98, 1.62)"
"92_3","1.38 (0.99, 1.9)"
"92_4","0.95 (0.78, 1.18)"
"92_5","0.83 (0.67, 1.04)"
"92_6","0.88 (0.71, 1.08)"
"92_7","0.79 (0.64, 0.99)"
"92_8","0.81 (0.66, 1)"
"92_9","0.83 (0.66, 1.04)"
"92_10","0.83 (0.7, 0.97)"
"92_11","0.6 (0.42, 0.84)"
"92_12","1.52 (1.03, 2.31)"
"92_13","1.2 (0.98, 1.49)"
"92_14","0.82 (0.65, 1.03)"
"92_15","1.02 (0.71, 1.53)"
