"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI"
"92_1",1.18781725888325,1.56521739130435,2.08
"92_2",0.982913669064748,1.26945412311266,1.61925925925926
"92_3",0.992248062015504,1.3800539083558,1.89647253201156
"92_4",0.783813343055049,0.953859804791482,1.17745315008477
"92_5",0.665635470501436,0.833932238193018,1.03538110024618
"92_6",0.713078291814947,0.881253435953821,1.07800941492939
"92_7",0.641340260809576,0.792881646655232,0.99355185384202
"92_8",0.661719438973631,0.814669926650367,1.00100140196275
"92_9",0.664172191997883,0.833153153153153,1.04003598740441
"92_10",0.697338618346546,0.826926328490163,0.973902728351127
"92_11",0.424128798004099,0.598540145985402,0.836734693877551
"92_12",1.03076923076923,1.52272727272727,2.31034482758621
"92_13",0.976089432925957,1.20065235118239,1.48677463290512
"92_14",0.649631798891391,0.820594965675057,1.02986789201608
"92_15",0.706730769230769,1.02083333333333,1.53125
