"","STL+PCA Estimate (95% CI)"
"0","0.92 (0.78, 1.08)"
"1","0.84 (0.75, 0.94)"
"2","0.78 (0.72, 0.85)"
"3","0.82 (0.75, 0.91)"
"4","0.76 (0.67, 0.87)"
"5","0.81 (0.68, 0.98)"
"6","0.83 (0.75, 0.92)"
"7","0.96 (0.88, 1.05)"
"8","1 (0.91, 1.09)"
"9","0.85 (0.76, 0.94)"
