"","Time trend Estimate (95% CI)"
"0","0.85 (0.73, 0.99)"
"1","0.73 (0.64, 0.84)"
"2","0.75 (0.66, 0.86)"
"3","0.82 (0.73, 0.91)"
"4","0.79 (0.68, 0.9)"
"5","0.85 (0.72, 0.97)"
"6","0.94 (0.85, 1.04)"
"7","0.96 (0.87, 1.05)"
"8","0.99 (0.91, 1.09)"
"9","0.73 (0.64, 0.83)"
