"","SC Estimate (95% CI)"
"0","0.83 (0.75, 0.98)"
"1","0.77 (0.72, 0.81)"
"2","0.77 (0.73, 0.82)"
"3","0.76 (0.71, 0.82)"
"4","0.78 (0.71, 0.87)"
"5","0.81 (0.72, 0.89)"
"6","1.06 (0.99, 1.12)"
"7","0.88 (0.8, 1)"
"8","1 (0.89, 1.13)"
"9","0.75 (0.71, 0.79)"
