"","groups","Synthetic Controls","Time trend","Time trend (no offset)","STL+PCA"
"1","0",0.898,0.099,0.003,0
"2","1",1,0,0,0
"3","2",0.957,0.043,0,0
"4","3",0.252,0.748,0,0
"5","4",0.088,0.305,0.607,0
"6","5",0.841,0,0.159,0
"7","6",0.708,0,0,0.292
"8","7",0.918,0.051,0,0.031
"9","8",0.105,0,0.003,0.892
"10","9",0.855,0.145,0,0
